,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
287,13-5A,23.74,border,infarct,sbrt,False,647957.0,356514.0,4410449.0,12.371040127456425,0.5502124369364016,1004471,6.806700135965812,4.390817654267769,0.6450728791572877,12.772384419261481,13,5A,5,mid,3.0
288,13-5B,20.46,border,infarct,sbrt,False,574895.0,583185.0,7634932.0,13.09178391076588,1.0144200245262178,1158080,13.280567755851068,6.592750069079856,0.4964207999447361,10.254010301533572,13,5B,5,mid,3.0
289,13-5C,0.81,healthy,infarct,sbrt,,,,,,,,,,,,13,5C,5,mid,3.0
290,13-6A,20.13,border,infarct,sbrt,,,,,,,,,,,,13,6A,6,mid,3.0
291,13-6B,33.77,border,infarct,sbrt,,,,,,,,,,,,13,6B,6,mid,3.0
292,13-6C,0.51,healthy,infarct,sbrt,,,,,,,,,,,,13,6C,6,mid,3.0
293,13-7A,29.99,border,infarct,sbrt,,,,,,,,,,,,13,7A,7,mid,3.0
294,13-7B,31.02,border,infarct,sbrt,,,,,,,,,,,,13,7B,7,mid,3.0
295,13-7C,0.58,healthy,infarct,sbrt,,,,,,,,,,,,13,7C,7,mid,3.0
296,13-8A,4.78,border,infarct,sbrt,False,615311.0,398087.0,5052889.25,12.692927048609977,0.6469687686389485,1013398,8.211927383063198,4.9860856741379,0.607176055212266,11.653433300638051,13,8A,8,mid,3.0
297,13-8B,36.64,border,infarct,sbrt,False,431222.0,264490.0,3222421.5,12.183528677832811,0.6133499682298214,695712,7.472766927475871,4.631832568649096,0.6198283197645003,12.325066622395473,13,8B,8,mid,3.0
298,13-8C,0.86,healthy,infarct,sbrt,,,,,,,,,,,,13,8C,8,mid,3.0
299,13-9A,7.79,border,infarct,sbrt,,,,,,,,,,,,13,9A,9,mid,3.0
300,13-9B,38.59,border,infarct,sbrt,,,,,,,,,,,,13,9B,9,mid,3.0
301,13-9C,1.04,healthy,infarct,sbrt,,,,,,,,,,,,13,9C,9,mid,3.0
302,14-10A,15.49,,infarct,sbrt,,,,,,,,,,,,14,10A,10,base,3.0
303,14-10B,35.66,,infarct,sbrt,,,,,,,,,,,,14,10B,10,base,3.0
304,14-10C,20.46,,infarct,sbrt,,,,,,,,,,,,14,10C,10,base,3.0
305,14-10D,0.95,,infarct,sbrt,,,,,,,,,,,,14,10D,10,base,3.0
306,14-11A,21.8,border,infarct,sbrt,,,,,,,,,,,,14,11A,11,base,3.0
307,14-11B,26.35,border,infarct,sbrt,,,,,,,,,,,,14,11B,11,base,3.0
308,14-11C,11.68,border,infarct,sbrt,,,,,,,,,,,,14,11C,11,base,3.0
309,14-11D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,14,11D,11,base,3.0
310,14-12A,31.19,border,infarct,sbrt,,,,,,,,,,,,14,12A,12,base,3.0
311,14-12B,11.53,border,infarct,sbrt,,,,,,,,,,,,14,12B,12,base,3.0
312,14-12C,3.7,healthy,infarct,sbrt,,,,,,,,,,,,14,12C,12,base,3.0
313,14-12D,1.29,healthy,infarct,sbrt,,,,,,,,,,,,14,12D,12,base,3.0
314,14-13A,18.87,border,infarct,sbrt,,,,,,,,,,,,14,13A,13,base,3.0
315,14-13B,7.8,border,infarct,sbrt,,,,,,,,,,,,14,13B,13,base,3.0
316,14-13C,1.51,healthy,infarct,sbrt,,,,,,,,,,,,14,13C,13,base,3.0
317,14-14A,5.84,healthy,infarct,sbrt,,,,,,,,,,,,14,14A,14,base,3.0
318,14-14B,2.67,healthy,infarct,sbrt,,,,,,,,,,,,14,14B,14,base,3.0
319,14-14C,1.18,healthy,infarct,sbrt,,,,,,,,,,,,14,14C,14,base,3.0
320,14-15A,1.15,healthy,infarct,sbrt,,,,,,,,,,,,14,15A,15,base,3.0
321,14-15B,1.54,healthy,infarct,sbrt,,,,,,,,,,,,14,15B,15,base,3.0
322,14-15C,2.08,healthy,infarct,sbrt,,,,,,,,,,,,14,15C,15,base,3.0
323,14-16A,0.9,healthy,infarct,sbrt,,,,,,,,,,,,14,16A,16,base,3.0
324,14-16B,1.56,healthy,infarct,sbrt,,,,,,,,,,,,14,16B,16,base,3.0
325,14-19A,1.92,healthy,infarct,sbrt,,,,,,,,,,,,14,19A,19,base,3.0
326,14-19B,1.1,healthy,infarct,sbrt,,,,,,,,,,,,14,19B,19,base,3.0
327,14-1A,43.3,center,infarct,sbrt,,,,,,,,,,,,14,1A,1,apex,3.0
328,14-1B,3.24,healthy,infarct,sbrt,,,,,,,,,,,,14,1B,1,apex,3.0
329,14-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,14,22A,22,base,3.0
330,14-22B,0.85,healthy,infarct,sbrt,,,,,,,,,,,,14,22B,22,base,3.0
331,14-2A,45.85,center,infarct,sbrt,False,499012.0,178186.0,2487564.75,13.960494932261794,0.35707758530856976,677198,4.9849798201245665,3.6733196937970876,0.736877545415078,17.598215736018123,14,2A,2,apex,3.0
332,14-2B,10.94,border,infarct,sbrt,False,411228.0,383365.0,5066364.75,13.215511979445177,0.9322443997004095,794593,12.32008703201144,6.376050065882786,0.5175328753210763,11.610258333511622,14,2B,2,apex,3.0
333,14-2C,1.94,healthy,infarct,sbrt,,,,,,,,,,,,14,2C,2,apex,3.0
334,14-2D,3.41,healthy,infarct,sbrt,,,,,,,,,,,,14,2D,2,apex,3.0
335,14-3A,37.8,border,infarct,sbrt,,,,,,,,,,,,14,3A,3,apex,3.0
336,14-3B,63.42,center,infarct,sbrt,,,,,,,,,,,,14,3B,3,apex,3.0
337,14-3C,15.91,border,infarct,sbrt,,,,,,,,,,,,14,3C,3,apex,3.0
338,14-3D,3.61,healthy,infarct,sbrt,,,,,,,,,,,,14,3D,3,apex,3.0
339,14-3E,2.45,healthy,infarct,sbrt,,,,,,,,,,,,14,3E,3,apex,3.0
340,14-4A,23.04,border,infarct,sbrt,,,,,,,,,,,,14,4A,4,apex,3.0
