,Fibrosis Percentage,scar,annotation_area,expanded_analysis,group,study,location,sample,section,slide_name,subject,total_connexin_area,total_connexin_area_per_cell,total_connexin_count_per_cell,total_connexins,total_connexins_per_annotation_area,total_mean_plaque_size,total_nuclei,total_nuclei_area_per_annotation_area,total_nuclei_count_per_annotation_area
142,32.89,Border,,,infarct,sbrt,mid,7C,7,12-7C,12,,,,,,,,,
143,4.18,Healthy,,,infarct,sbrt,mid,7D,7,12-7D,12,,,,,,,,,
39,13.8,Border,1628217,FALSE,infarct,sbrt,mid,8A,8,12-8A,12,10948207,14.4074502,1.14267554,868318,6.72404661,12.60852245,759899,7.983791012,0.466706219
144,28.92,Border,,,infarct,sbrt,mid,8A,8,12-8A,12,,,,,,,,,
40,62.89,Center,773621,FALSE,infarct,sbrt,mid,8B,8,12-8B,12,3432657.75,6.863256523,0.546777967,273471,4.437131037,12.55218195,500150,13.45698023,0.646505201
145,38.01,Border,,,infarct,sbrt,mid,8B,8,12-8B,12,,,,,,,,,
41,48.37,Border,1014814,FALSE,infarct,sbrt,mid,8C,8,12-8C,12,5879800.25,10.94488514,0.889013605,477595,5.793968402,12.31126844,537219,9.453904361,0.529376812
146,25,Border,,,infarct,sbrt,mid,8C,8,12-8C,12,,,,,,,,,
147,4.06,Border,,,infarct,sbrt,mid,8D,8,12-8D,12,,,,,,,,,
148,32.97,Border,,,infarct,sbrt,mid,9A,9,12-9A,12,,,,,,,,,
149,36.99,Border,,,infarct,sbrt,mid,9B,9,12-9B,12,,,,,,,,,
150,3.05,Healthy,,,infarct,sbrt,mid,9C,9,12-9C,12,,,,,,,,,
154,2.88,Healthy,,,infarct,sbrt,mid,1,,13-1,13,,,,,,,,,
177,9.07,Border,,,infarct,sbrt,base,11A,11,13-11A,13,,,,,,,,,
178,0.73,Healthy,,,infarct,sbrt,base,11B,11,13-11B,13,,,,,,,,,
179,0.71,Healthy,,,infarct,sbrt,base,12A,12,13-12A,13,,,,,,,,,
180,1.63,Healthy,,,infarct,sbrt,base,12B,12,13-12B,13,,,,,,,,,
42,15.25,Healthy,2320848,FALSE,infarct,sbrt,base,14A,14,13-14A,13,23557651.75,50.37011991,3.962353349,1853157,10.15045007,12.71217266,467691,3.096159572,0.20151729
181,1.34,Healthy,,,infarct,sbrt,base,14A,14,13-14A,13,,,,,,,,,
182,3.95,Healthy,,,infarct,sbrt,base,14B,14,13-14B,13,,,,,,,,,
43,37.56,Border,1954722,FALSE,infarct,sbrt,apex,2A,2,13-2A,13,17639156,25.35873545,1.810184233,1259137,9.023869379,14.00892516,695585,5.660918023,0.355848555
155,6.04,Border,,,infarct,sbrt,apex,2A,2,13-2A,13,,,,,,,,,
156,0.97,Healthy,,,infarct,sbrt,apex,2B,2,13-2B,13,,,,,,,,,
157,23.99,Border,,,infarct,sbrt,apex,3A,3,13-3A,13,,,,,,,,,
158,1.05,Healthy,,,infarct,sbrt,apex,3C,3,13-3C,13,,,,,,,,,
159,32.59,Border,,,infarct,sbrt,apex,4A,4,13-4A,13,,,,,,,,,
160,21.1,Border,,,infarct,sbrt,apex,4B,4,13-4B,13,,,,,,,,,
161,1.25,Healthy,,,infarct,sbrt,apex,4C,4,13-4C,13,,,,,,,,,
